outcome,post_mode,model_years,coef_per_1sd_exposure,cluster_se,cluster_p_norm,n_obs,groups
household_production_minutes,post_2023plus,2017-2024 excl 2020,0.2773305843745675,0.9962702812863576,0.780729250625289,2851,450
household_production_minutes,post_2022plus,2017-2024 excl 2020,0.201245261573348,1.0436305679051487,0.8470906225391732,2851,450
household_production_minutes,post_2024only,2017-2024 excl 2020,0.8173505459404282,1.6674435076717045,0.6240052219148013,2851,450
care_minutes,post_2023plus,2017-2024 excl 2020,0.7216583484330386,1.2124487166663525,0.551704899460314,2851,450
care_minutes,post_2022plus,2017-2024 excl 2020,0.908007360762241,0.8877353421017996,0.306385556408271,2851,450
care_minutes,post_2024only,2017-2024 excl 2020,-0.07730068680218949,1.293313564194829,0.9523392288593776,2851,450
education_minutes,post_2023plus,2017-2024 excl 2020,-4.5844806644692255,1.6098918814910073,0.004403714044530189,2851,450
education_minutes,post_2022plus,2017-2024 excl 2020,-5.257914230691355,2.5150220974136595,0.036563613501737285,2851,450
education_minutes,post_2024only,2017-2024 excl 2020,-3.334315829285458,3.1382859311557705,0.28802509190718606,2851,450
admin_services_minutes,post_2023plus,2017-2024 excl 2020,-1.7453579026167816,1.1919074848597728,0.1431010510297564,2851,450
admin_services_minutes,post_2022plus,2017-2024 excl 2020,-2.3415508604502406,1.1506895055425044,0.04185981777682189,2851,450
admin_services_minutes,post_2024only,2017-2024 excl 2020,-0.8731402107471737,1.0541323388748058,0.4074993367609916,2851,450
leisure_minutes,post_2023plus,2017-2024 excl 2020,2.8069895592193177,2.1114173940490644,0.18370490691021252,2851,450
leisure_minutes,post_2022plus,2017-2024 excl 2020,2.2475577006633785,2.7032951137144803,0.40573973083283005,2851,450
leisure_minutes,post_2024only,2017-2024 excl 2020,-1.1743874213448748,2.7655729486177707,0.6710952998451984,2851,450
market_work_minutes,post_2023plus,2017-2024 excl 2020,4.813803817020471,2.2754139261695223,0.03438115700663636,2851,450
market_work_minutes,post_2022plus,2017-2024 excl 2020,4.892690021449084,2.0521063463250715,0.01711498108148838,2851,450
market_work_minutes,post_2024only,2017-2024 excl 2020,6.052141527656715,2.8206130517649917,0.031898276898865804,2851,450
high_ai_minutes,post_2023plus,2017-2024 excl 2020,-3.3292269147464992,1.8384095887403826,0.07015203849546685,2851,450
high_ai_minutes,post_2022plus,2017-2024 excl 2020,-4.423829538004611,2.4027093603520124,0.06559462928975247,2851,450
high_ai_minutes,post_2024only,2017-2024 excl 2020,-4.595970566704494,4.09045268779396,0.26118919683257075,2851,450
ai_score_weighted_minutes,post_2023plus,2017-2024 excl 2020,-2.268761976787083,1.0014709486928375,0.023486326802949785,2851,450
ai_score_weighted_minutes,post_2022plus,2017-2024 excl 2020,-2.9672795777291086,1.2878828472477424,0.021222752656096404,2851,450
ai_score_weighted_minutes,post_2024only,2017-2024 excl 2020,-2.7974870151988824,2.055575582183232,0.17353695914330755,2851,450
