year,base_year,coef,se,cluster_se,p_norm,cluster_p_norm
2014,2019,0.8874999999999865,0.5765257534962727,0.5619300463439714,0.12370825887757023,0.11424936117338944
2015,2019,0.2499999999999993,0.5765257534962703,0.502950619242911,0.6645557130000579,0.6191420227098072
2016,2019,0.08750000000001165,0.5765257534962706,0.4512938849961552,0.8793674054640116,0.8462643933729057
2017,2019,0.11249999999995317,0.5765257534962708,0.3504270354051727,0.8452877423701777,0.7481824473088691
2018,2019,0.22499999999998474,0.5765257534962708,0.3221671408860126,0.6963378096823593,0.4849300478602685
2021,2019,-0.9874999999999747,0.5765257534962706,0.4601775666600231,0.08674082088519915,0.031880097759372054
2022,2019,-0.5999999999999839,0.5765257534962708,0.3144029362922743,0.2980070338353575,0.056342233091861045
2023,2019,-0.9375000000000349,0.5765257534962707,0.47424490943707504,0.10392415169420617,0.04806122239106417
2024,2019,-1.3875000000000102,0.5765257534962707,0.7927846116545041,0.016099262589339084,0.08009069055804686
