year,exposure_group,total_value,mean_activity_value,activities
2003,high,27.1,3.3875,8
2003,low,139.0,17.375,8
2004,high,28.0,3.5,8
2004,low,138.3,17.2875,8
2005,high,27.6,3.45,8
2005,low,140.4,17.55,8
2006,high,27.3,3.4125,8
2006,low,139.5,17.4375,8
2007,high,25.6,3.2,8
2007,low,137.5,17.1875,8
2008,high,27.9,3.4875,8
2008,low,138.6,17.325,8
2009,high,27.4,3.425,8
2009,low,141.9,17.7375,8
2010,high,26.6,3.325,8
2010,low,139.20000000000002,17.400000000000002,8
2011,high,24.6,3.075,8
2011,low,134.1,16.7625,8
2012,high,25.5,3.1875,8
2012,low,135.3,16.9125,8
2013,high,26.3,3.2875,8
2013,low,139.29999999999998,17.412499999999998,8
2014,high,26.8,3.35,8
2014,low,142.2,17.775,8
2015,high,26.8,3.35,8
2015,low,147.3,18.4125,8
2016,high,26.4,3.3,8
2016,low,148.2,18.525,8
2017,high,25.2,3.15,8
2017,low,146.8,18.35,8
2018,high,24.5,3.0625,8
2018,low,145.2,18.15,8
2019,high,26.3,3.2875,8
2019,low,148.8,18.6,8
2021,high,24.7,3.0875,8
2021,low,155.1,19.3875,8
2022,high,23.5,2.9375,8
2022,low,150.8,18.85,8
2023,high,22.5,2.8125,8
2023,low,152.5,19.0625,8
2024,high,23.0,2.875,8
2024,low,156.6,19.575,8
